feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19
0.0,0.33333334,0.0,0.36666667,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33333334,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333,0.0
0.0,0.6,0.0,0.33333334,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36666667,0.0,0.33333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333334,0.6666667,0.8333333,0.23333333,0.16666667,0.3,0.0,0.0
0.33333334,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.6666667,0.76666665,0.0,0.0,0.23333333,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.26666668,1.0,0.96666664,0.76666665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.93333334,0.96666664,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.033333335,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.26666668,0.93333334,0.0,0.0,0.0,0.06666667,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.96666664,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.96666664,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.76666665,0.0,0.06666667,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.13333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.23333333,0.06666667,0.0,0.0
0.0,0.0,0.0,0.6666667,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,0.0,0.2,0.0,0.0
0.0,0.0,0.0,0.8333333,0.76666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.033333335,0.0,0.0,0.1
0.0,0.0,0.0,0.23333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.033333335,0.0,0.0,1.0
0.0,0.0,0.0,0.16666667,0.0,0.0,0.033333335,0.0,0.0,0.0,0.0,0.0,0.23333333,0.0,0.033333335,0.033333335,0.0,0.23333333,0.06666667,0.06666667
0.0,0.0,0.0,0.3,0.23333333,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.06666667,0.2,0.0,0.0,0.23333333,0.0,0.0,0.0
0.0,0.8333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666667,0.0,0.0,0.26666668
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.06666667,0.0,0.26666668,0.0
